,name,type
1981,Dora Oldendorff,Bulk Carrier
1983,Dorothea Oldendorff,Bulk Carrier
2010,Rio Grita,Bulk Carrier
2018,Nida Star,Oil/Chemical Tanker
2019,Desna Star,Oil/Chemical Tanker
2020,Wappen Von Nurnberg,Oil/Chemical Tanker
2021,Mrc Hatice Ana,Oil/Chemical Tanker
2027,Julian,Bulk Carrier
2038,Ct Wicklow,Oil/Chemical Tanker
2039,Confidence 1,Bulk Carrier
2040,Trina Oldendorff,Bulk Carrier
2045,Crystalgate,Bulk Carrier
2054,Tosna Star,Oil/Chemical Tanker
2055,Neva Star,Oil/Chemical Tanker
2077,Christina B,Bulk Carrier
2078,Pollux,Bulk Carrier
2087,Helga,Bulk Carrier
2090,Else,Bulk Carrier
2091,Emil,Bulk Carrier
2092,Minnetonka,Bulk Carrier
2095,Aventurin,Bulk Carrier
2096,Edwin,Bulk Carrier
2101,United Mojanda,Bulk Carrier
2105,Minnehaha,Bulk Carrier
2106,Erria Anne,Oil/Chemical Tanker
2110,AnnaDorothea,Bulk Carrier
2111,AnnaMaria,Bulk Carrier
2115,Trans Nanjing,Bulk Carrier
2116,Barbara,Bulk Carrier
2120,Blumenau,Bulk Carrier
2121,AnnaElisabeth,Bulk Carrier
2122,Hannah,Bulk Carrier
2123,United Maderas,Bulk Carrier
2137,Belo Horizonte,Bulk Carrier
2139,AnnaBarbara,Bulk Carrier
2140,Papua,Bulk Carrier
2141,Kasugta,Oil/Chemical Tanker
2144,Palau,Bulk Carrier
2145,Tansanit,Bulk Carrier
2146,Conti Larimar,Bulk Carrier
2147,Conti Lapislazuli,Bulk Carrier
2162,Gloria,Bulk Carrier
2163,Nina Marie,Bulk Carrier
2164,Renate,Bulk Carrier
2165,Talia,Bulk Carrier
2167,Yulia,Bulk Carrier
2169,Vil Baltic,Bulk Carrier
2170,Pavian,Bulk Carrier
2171,Clara,Bulk Carrier
2182,Cornelia,Bulk Carrier
2183,Conti Spinell,Bulk Carrier
2184,Ds Charme,Bulk Carrier
2185,Ametrin,Bulk Carrier
2186,Amethyst,Bulk Carrier
2187,Irmgard,Bulk Carrier
2190,Salford Quay,Bulk Carrier
2191,Concordia,Bulk Carrier
2201,Lady Doris,Bulk Carrier
2202,HG Buelow,Bulk Carrier
2203,Suse,Bulk Carrier
2204,As Varesia,Bulk Carrier
2207,Cpo Asia,Bulk Carrier
2208,Diana Bolten,Bulk Carrier
2210,Chemtrans Mabuhay,Oil/Chemical Tanker
2217,Amazonit,Bulk Carrier
2225,Emma Schulte,Bulk Carrier
2226,Jupiter N,Bulk Carrier
2227,ERBornholm,Bulk Carrier
2228,ERBordeaux,Bulk Carrier
2229,ERBristol,Bulk Carrier
2230,ER Bern,Bulk Carrier
2231,ER Basel,Bulk Carrier
2233,Voge Challenger,Bulk Carrier
2234,AnnaMeta,Bulk Carrier
2235,Rhl Dresden,Oil/Chemical Tanker
2247,Nordic Stade,Bulk Carrier
2249,Carola,Bulk Carrier
2250,Wappen Von Stuttgart,Oil/Chemical Tanker
2251,Wappen Von Frankfurt,Oil/Chemical Tanker
2252,Wappen Von Leipzig,Oil/Chemical Tanker
2253,Wappen Von Bremen,Oil/Chemical Tanker
2254,Wappen Von Bayern,Oil/Chemical Tanker
2255,Wappen Von Munchen,Oil/Chemical Tanker
2256,Wappen Von Berlin,Oil/Chemical Tanker
2257,Wappen Von Hamburg,Oil/Chemical Tanker
2264,Wrestler,Bulk Carrier
2265,InaLotte,Bulk Carrier
2268,Almandin,Bulk Carrier
2269,Piavia,Bulk Carrier
2271,Widar,Bulk Carrier
2274,Piet,Bulk Carrier
2275,Harm,Bulk Carrier
2276,Rugia,Bulk Carrier
2278,Voge Enterprise,Bulk Carrier
2279,Laura I,Bulk Carrier
2282,Alexandrit,Bulk Carrier
2283,Eagle Strait,Bulk Carrier
2290,As Vincentia,Bulk Carrier
2291,Vega Libra,Bulk Carrier
2292,MV Vega Lea,Bulk Carrier
2293,Vil Atlantic,Bulk Carrier
2294,Cervia,Bulk Carrier
2296,Cpo America,Bulk Carrier
2302,Hammonia Korsika,Bulk Carrier
2303,David Schulte,Bulk Carrier
2304,Boavista,Bulk Carrier
2305,Copernicus N,Bulk Carrier
2306,Dora Schulte,Bulk Carrier
2307,Betis,Bulk Carrier
2314,Caro,Bulk Carrier
2315,Bbc Pluto,Bulk Carrier
2316,Bbc Neptune,Bulk Carrier
2324,Hammonia Malta,Bulk Carrier
2325,Mount Kibo,Oil/Chemical Tanker
2326,Mount Everest,Oil/Chemical Tanker
2331,Consul Poppe,Bulk Carrier
2338,Clarke Quay,Bulk Carrier
2339,ER Brighton,Bulk Carrier
2342,Paros,Bulk Carrier
2343,Johannes Wulff,Bulk Carrier
2344,John Wulff,Bulk Carrier
2345,Hero,Bulk Carrier
2354,Conti Selenit,Bulk Carrier
2355,Conti Saphir,Bulk Carrier
2356,Luebbert,Bulk Carrier
2357,Fritz,Bulk Carrier
2358,ER Barcelona,Bulk Carrier
2359,ER Bayonne,Bulk Carrier
2360,ERBourgogne,Bulk Carrier
2362,Essex Strait,Bulk Carrier
2370,Energy Lula,Bulk Carrier
2371,Energy Ivy,Bulk Carrier
2372,Trans Shanghai,Bulk Carrier
2374,Vega Mars,Bulk Carrier
2375,Vega Granat,Bulk Carrier
2376,Rhl Novare,Bulk Carrier
2377,Vega Neptune,Bulk Carrier
2384,Jan S,Bulk Carrier
2390,Trudy,Bulk Carrier
