dataset,n_entities,n_types,base_silhouette,bge_silhouette,sbert_silhouette,simcse_silhouette,mlm_silhouette,base_calinski,bge_calinski,sbert_calinski,simcse_calinski,mlm_calinski,bge_sil_improvement,sbert_sil_improvement,simcse_sil_improvement,mlm_sil_improvement,bge_ch_improvement,sbert_ch_improvement,simcse_ch_improvement,mlm_ch_improvement
movie,2272,12,-0.03973588,-0.02659366,-0.03975908,-0.016327878,-0.054998513,55.25618051253403,83.74096189278747,71.97299617716519,36.354703217256144,50.81963706104359,0.013142221,-2.3201108e-05,0.023408001,-0.015262634,28.484781380253438,16.716815664631156,-18.901477295277886,-4.4365434514904365
politics,3069,9,0.0076679294,0.09588992,0.08886929,0.031754207,-0.0026151226,89.1134123854326,334.99460695819744,310.5904729161763,97.99267609949824,87.55387458736739,0.08822199,0.08120136,0.024086278,-0.010283052,245.88119457276485,221.4770605307437,8.879263714065644,-1.5595377980652074
music,2591,13,-0.058343872,0.048174642,0.027490031,0.0016545331,-0.05151635,34.710648335650255,152.08681805603098,120.87504247119662,43.180412331670006,33.67962948266794,0.106518514,0.08583391,0.059998404,0.006827522,117.37616972038072,86.16439413554636,8.46976399601975,-1.0310188529823137
restaurant,1581,8,-0.03727377,0.05906872,0.054107204,0.023252428,-0.030370388,33.226951960220944,97.14859700553265,85.14749231793805,40.98087076893769,33.886254798936676,0.09634249,0.09138097,0.060526196,0.00690338,63.921645045311706,51.9205403577171,7.753918808716747,0.6593028387157318
science,2453,17,-0.05655261,0.0001348623,-0.024189843,-0.006986433,-0.07027117,30.797075504517373,154.33815616303914,123.53596709214204,51.220247527623755,32.69994391464633,0.056687474,0.032362767,0.04956618,-0.01371856,123.54108065852176,92.73889158762466,20.423172023106382,1.90286841012896
literature,1830,12,-0.03297105,0.0446967,0.026083462,0.0049261167,-0.03359575,24.29323586259982,131.02196726225768,106.34764263526318,30.41255413280411,24.723980135627226,0.07766775,0.059054513,0.037897166,-0.00062469766,106.72873139965786,82.05440677266337,6.1193182702042925,0.4307442730274076
ai,1262,14,-0.069990255,-0.015049058,-0.03474709,-0.013657677,-0.09039518,17.09052379925755,71.7254185803675,53.770324866683865,23.97336931075729,16.368925934717694,0.054941196,0.035243165,0.056332577,-0.020404927,54.63489478110995,36.67980106742631,6.882845511499738,-0.7215978645398557
