dataset,n_entities,n_types,base_silhouette,bge_silhouette,sbert_silhouette,base_calinski,bge_calinski,sbert_calinski,bge_sil_improvement,sbert_sil_improvement,bge_ch_improvement,sbert_ch_improvement
movie,2272,12,-0.03973588,-0.02659366,-0.03975908,55.25618051253403,83.74096189278747,71.97299617716519,0.013142221,-2.3201108e-05,28.484781380253438,16.716815664631156
politics,3069,9,0.0076679294,0.09588992,0.08886929,89.1134123854326,334.99460695819744,310.5904729161763,0.08822199,0.08120136,245.88119457276485,221.4770605307437
music,2591,13,-0.058343872,0.048174642,0.027490031,34.710648335650255,152.08681805603098,120.87504247119662,0.106518514,0.08583391,117.37616972038072,86.16439413554636
restaurant,1581,8,-0.03727377,0.05906872,0.054107204,33.226951960220944,97.14859700553265,85.14749231793805,0.09634249,0.09138097,63.921645045311706,51.9205403577171
science,2453,17,-0.05655261,0.0001348623,-0.024189843,30.797075504517373,154.33815616303914,123.53596709214204,0.056687474,0.032362767,123.54108065852176,92.73889158762466
literature,1830,12,-0.03297105,0.0446967,0.026083462,24.29323586259982,131.02196726225768,106.34764263526318,0.07766775,0.059054513,106.72873139965786,82.05440677266337
ai,1262,14,-0.069990255,-0.015049058,-0.03474709,17.09052379925755,71.7254185803675,53.770324866683865,0.054941196,0.035243165,54.63489478110995,36.67980106742631
