model,dataset,vessel_accuracy,vessel_correct,vessel_total,port_accuracy,port_correct,port_total,commodity_accuracy,commodity_correct,commodity_total,incoterm_accuracy,incoterm_correct,incoterm_total,overall_accuracy,overall_correct,overall_total
gliner_finetuned_bge,attr_prompting_claude,0.8732,868,994,0.9336,928,994,0.9688,963,994,0.6801,676,994,0.8639,3435,3976
gliner_finetuned_bge,attr_prompting_deepseek,0.9779,975,997,0.9729,971,998,0.981,979,998,0.8086,807,998,0.9351,3732,3991
gliner_finetuned_bge,attr_prompting_gemini,0.851,851,1000,0.919,919,1000,0.936,936,1000,0.839,839,1000,0.8862,3545,4000
gliner_finetuned_bge,attr_prompting_gpt,0.98,980,1000,0.982,982,1000,0.974,974,1000,0.707,707,1000,0.9107,3643,4000
gliner_finetuned_bge,attr_prompting_mistral,0.9646,954,989,0.9879,977,989,1.0,989,989,0.7551,746,988,0.9269,3666,3955
gliner_finetuned_bge,bare_llama_3b_claude,0.9507,887,933,0.9516,943,991,0.8051,752,934,0.9222,830,900,0.9079,3412,3758
gliner_finetuned_bge,bare_llama_3b_deepseek,0.9263,880,950,0.9215,916,994,0.7772,764,983,0.9129,838,918,0.8837,3398,3845
gliner_finetuned_bge,bare_llama_3b_gemini,0.9258,874,944,0.8894,885,995,0.767,754,983,0.9101,830,912,0.8719,3343,3834
gliner_finetuned_bge,bare_llama_3b_gpt,0.9417,904,960,0.9439,942,998,0.8182,783,957,0.9191,852,927,0.906,3481,3842
gliner_finetuned_bge,bare_llama_3b_mistral,0.9502,877,923,0.9305,910,978,0.7827,749,957,0.9124,823,902,0.8934,3359,3760
gliner_finetuned_bge,bare_llama_8b_claude,0.9209,862,936,0.9527,946,993,0.8158,762,934,0.9006,788,875,0.8983,3358,3738
gliner_finetuned_bge,bare_llama_8b_deepseek,0.8628,824,955,0.939,939,1000,0.7829,768,981,0.8899,800,899,0.8686,3331,3835
gliner_finetuned_bge,bare_llama_8b_gemini,0.8766,817,932,0.9027,891,987,0.7749,754,973,0.874,791,905,0.8567,3253,3797
gliner_finetuned_bge,bare_llama_8b_gpt,0.8875,836,942,0.9388,936,997,0.8205,791,964,0.9054,823,909,0.8882,3386,3812
gliner_finetuned_bge,bare_llama_8b_mistral,0.9064,833,919,0.9398,921,980,0.8069,769,953,0.8999,800,889,0.8883,3323,3741
gliner_finetuned_bge,fewshot_claude,0.998,499,500,0.996,498,500,0.97,485,500,0.4,200,500,0.841,1682,2000
gliner_finetuned_bge,fewshot_deepseek,1.0,497,497,0.998,496,497,0.998,496,497,0.9577,476,497,0.9884,1965,1988
gliner_finetuned_bge,fewshot_gemini,0.9711,471,485,1.0,485,485,0.9546,463,485,0.7803,373,478,0.9271,1792,1933
gliner_finetuned_bge,fewshot_gpt,0.992,495,499,1.0,499,499,0.976,487,499,0.7442,352,473,0.9305,1833,1970
gliner_finetuned_bge,fewshot_mistral,0.996,492,494,1.0,494,494,0.9858,487,494,0.832,411,494,0.9534,1884,1976
gliner_finetuned_bge,zeroshot_claude,0.996,498,500,0.85,425,500,0.908,454,500,0.3285,91,277,0.8261,1468,1777
gliner_finetuned_bge,zeroshot_deepseek,0.9438,470,498,0.9819,489,498,1.0,498,498,0.9761,408,418,0.9754,1865,1912
gliner_finetuned_bge,zeroshot_gemini,0.9597,429,447,0.9148,440,481,0.79,380,481,0.8374,242,289,0.8781,1491,1698
gliner_finetuned_bge,zeroshot_gpt,0.9399,469,499,0.9699,484,499,0.9198,459,499,0.9634,316,328,0.9468,1728,1825
gliner_finetuned_bge,zeroshot_mistral,0.8081,379,469,1.0,469,469,0.9829,461,469,0.903,326,361,0.9248,1635,1768
gliner_finetuned_bge_email,attr_prompting_claude,0.9688,963,994,0.9276,922,994,0.9799,974,994,0.9286,923,994,0.9512,3782,3976
gliner_finetuned_bge_email,attr_prompting_deepseek,0.997,994,997,0.9629,961,998,0.997,995,998,0.9629,961,998,0.98,3911,3991
gliner_finetuned_bge_email,attr_prompting_gemini,0.976,976,1000,0.947,947,1000,0.964,964,1000,0.982,982,1000,0.9673,3869,4000
gliner_finetuned_bge_email,attr_prompting_gpt,0.985,985,1000,0.985,985,1000,0.991,991,1000,0.847,847,1000,0.952,3808,4000
gliner_finetuned_bge_email,attr_prompting_mistral,0.9818,971,989,0.9869,976,989,1.0,989,989,0.8918,882,989,0.9651,3818,3956
gliner_finetuned_bge_email,bare_llama_3b_claude,0.9536,843,884,0.9082,900,991,0.8424,775,920,0.9617,804,836,0.9149,3322,3631
gliner_finetuned_bge_email,bare_llama_3b_deepseek,0.9281,826,890,0.829,824,994,0.8004,770,962,0.9497,793,835,0.8729,3213,3681
gliner_finetuned_bge_email,bare_llama_3b_gemini,0.9258,823,889,0.8271,823,995,0.7942,772,972,0.934,793,849,0.8667,3211,3705
gliner_finetuned_bge_email,bare_llama_3b_gpt,0.9385,839,894,0.8798,878,998,0.8479,797,940,0.9469,820,866,0.9016,3334,3698
gliner_finetuned_bge_email,bare_llama_3b_mistral,0.9453,813,860,0.8599,841,978,0.8146,769,944,0.9541,789,827,0.89,3212,3609
gliner_finetuned_bge_email,bare_llama_8b_claude,0.9334,813,871,0.9124,906,993,0.8444,776,919,0.9486,775,817,0.9083,3270,3600
gliner_finetuned_bge_email,bare_llama_8b_deepseek,0.8763,786,897,0.829,829,1000,0.8039,775,964,0.9306,791,850,0.8572,3181,3711
gliner_finetuned_bge_email,bare_llama_8b_gemini,0.8823,772,875,0.8257,815,987,0.7944,765,963,0.9208,779,846,0.8529,3131,3671
gliner_finetuned_bge_email,bare_llama_8b_gpt,0.9016,806,894,0.8536,851,997,0.8393,794,946,0.9413,818,869,0.8821,3269,3706
gliner_finetuned_bge_email,bare_llama_8b_mistral,0.9173,788,859,0.85,833,980,0.8381,787,939,0.9374,779,831,0.8831,3187,3609
gliner_finetuned_bge_email,fewshot_claude,0.994,497,500,0.994,497,500,0.982,491,500,0.8517,425,499,0.9555,1910,1999
gliner_finetuned_bge_email,fewshot_deepseek,1.0,497,497,0.996,495,497,0.998,496,497,0.996,494,496,0.9975,1982,1987
gliner_finetuned_bge_email,fewshot_gemini,0.9814,476,485,0.9897,480,485,0.9814,476,485,0.9237,436,472,0.9694,1868,1927
gliner_finetuned_bge_email,fewshot_gpt,0.992,495,499,0.998,498,499,0.988,493,499,0.8522,398,467,0.9593,1884,1964
gliner_finetuned_bge_email,fewshot_mistral,0.9939,491,494,0.998,493,494,0.9939,491,494,0.9512,468,492,0.9843,1943,1974
gliner_finetuned_bge_email,zeroshot_claude,0.962,481,500,0.876,438,500,0.924,462,500,0.6598,258,391,0.8667,1639,1891
gliner_finetuned_bge_email,zeroshot_deepseek,0.99,493,498,0.9819,489,498,1.0,498,498,0.9796,479,489,0.9879,1959,1983
gliner_finetuned_bge_email,zeroshot_gemini,0.9548,422,442,0.8628,415,481,0.8025,386,481,0.9395,373,397,0.8862,1596,1801
gliner_finetuned_bge_email,zeroshot_gpt,0.9639,481,499,0.9319,465,499,0.9359,467,499,0.9754,476,488,0.9516,1889,1985
gliner_finetuned_bge_email,zeroshot_mistral,0.944,438,464,0.9979,468,469,0.9829,461,469,0.9278,424,457,0.9634,1791,1859
gliner_finetuned_email,attr_prompting_claude,0.9809,975,994,0.9336,928,994,0.9809,975,994,0.9215,916,994,0.9542,3794,3976
gliner_finetuned_email,attr_prompting_deepseek,0.997,995,998,0.9609,959,998,0.998,996,998,0.9589,957,998,0.9787,3907,3992
gliner_finetuned_email,attr_prompting_gemini,0.994,994,1000,0.967,967,1000,0.973,973,1000,0.988,988,1000,0.9805,3922,4000
gliner_finetuned_email,attr_prompting_gpt,0.996,996,1000,0.987,987,1000,0.991,991,1000,0.851,851,1000,0.9563,3825,4000
gliner_finetuned_email,attr_prompting_mistral,0.9929,982,989,0.9879,977,989,1.0,989,989,0.8918,882,989,0.9681,3830,3956
gliner_finetuned_email,bare_llama_3b_claude,0.9576,859,897,0.9273,919,991,0.8316,780,938,0.9623,843,876,0.9187,3401,3702
gliner_finetuned_email,bare_llama_3b_deepseek,0.9353,853,912,0.8581,853,994,0.8106,792,977,0.9568,841,879,0.8876,3339,3762
gliner_finetuned_email,bare_llama_3b_gemini,0.9363,853,911,0.8482,844,995,0.7915,782,988,0.9462,844,892,0.8777,3323,3786
gliner_finetuned_email,bare_llama_3b_gpt,0.949,875,922,0.9008,899,998,0.8413,811,964,0.9551,872,913,0.9105,3457,3797
gliner_finetuned_email,bare_llama_3b_mistral,0.9569,844,882,0.8804,861,978,0.8235,793,963,0.9572,828,865,0.9018,3326,3688
gliner_finetuned_email,bare_llama_8b_claude,0.9459,856,905,0.9215,915,993,0.857,803,937,0.9522,816,857,0.9182,3390,3692
gliner_finetuned_email,bare_llama_8b_deepseek,0.8852,817,923,0.842,842,1000,0.8143,798,980,0.9357,830,887,0.8673,3287,3790
gliner_finetuned_email,bare_llama_8b_gemini,0.8963,821,916,0.8349,824,987,0.8053,786,976,0.9308,821,882,0.8647,3252,3761
gliner_finetuned_email,bare_llama_8b_gpt,0.9112,852,935,0.8686,866,997,0.8504,824,969,0.9495,864,910,0.8937,3406,3811
gliner_finetuned_email,bare_llama_8b_mistral,0.921,816,886,0.8612,844,980,0.8459,807,954,0.9416,806,856,0.8904,3273,3676
gliner_finetuned_email,fewshot_claude,1.0,500,500,0.996,498,500,0.982,491,500,0.8597,429,499,0.9595,1918,1999
gliner_finetuned_email,fewshot_deepseek,1.0,497,497,0.996,495,497,1.0,497,497,1.0,496,496,0.999,1985,1987
gliner_finetuned_email,fewshot_gemini,0.9918,481,485,0.9897,480,485,1.0,485,485,0.9244,440,476,0.9767,1886,1931
gliner_finetuned_email,fewshot_gpt,0.988,492,498,0.998,498,499,0.982,490,499,0.8526,399,468,0.9567,1879,1964
gliner_finetuned_email,fewshot_mistral,0.996,492,494,0.998,493,494,0.996,492,494,0.9575,473,494,0.9868,1950,1976
gliner_finetuned_email,zeroshot_claude,0.984,492,500,0.89,445,500,0.918,459,500,0.6745,286,424,0.8742,1682,1924
gliner_finetuned_email,zeroshot_deepseek,0.998,497,498,0.998,497,498,1.0,498,498,0.9918,484,488,0.997,1976,1982
gliner_finetuned_email,zeroshot_gemini,0.9518,434,456,0.8753,421,481,0.8067,388,481,0.9523,379,398,0.8932,1622,1816
gliner_finetuned_email,zeroshot_gpt,0.98,489,499,0.9319,465,499,0.9519,475,499,0.9838,486,494,0.9618,1915,1991
gliner_finetuned_email,zeroshot_mistral,0.9145,428,468,0.9979,468,469,0.9808,460,469,0.9339,438,469,0.9568,1794,1875
gliner_finetuned_simcse,attr_prompting_claude,0.8773,872,994,0.9346,929,994,0.9789,973,994,0.668,664,994,0.8647,3438,3976
gliner_finetuned_simcse,attr_prompting_deepseek,0.976,974,998,0.9749,973,998,0.992,990,998,0.7866,785,998,0.9324,3722,3992
gliner_finetuned_simcse,attr_prompting_gemini,0.882,882,1000,0.921,921,1000,0.957,957,1000,0.81,810,1000,0.8925,3570,4000
gliner_finetuned_simcse,attr_prompting_gpt,0.977,977,1000,0.983,983,1000,0.989,989,1000,0.691,691,1000,0.91,3640,4000
gliner_finetuned_simcse,attr_prompting_mistral,0.9656,955,989,0.9899,979,989,1.0,989,989,0.7429,734,988,0.9247,3657,3955
gliner_finetuned_simcse,bare_llama_3b_claude,0.9523,878,922,0.9516,943,991,0.8081,754,933,0.9096,805,885,0.9059,3380,3731
gliner_finetuned_simcse,bare_llama_3b_deepseek,0.9241,864,935,0.9225,917,994,0.7765,761,980,0.9056,815,900,0.8813,3357,3809
gliner_finetuned_simcse,bare_llama_3b_gemini,0.9279,862,929,0.8905,886,995,0.7681,755,983,0.9,810,900,0.8702,3313,3807
gliner_finetuned_simcse,bare_llama_3b_gpt,0.9396,886,943,0.9449,943,998,0.8219,789,960,0.9121,841,922,0.9048,3459,3823
gliner_finetuned_simcse,bare_llama_3b_mistral,0.949,856,902,0.9356,915,978,0.7847,751,957,0.9061,801,884,0.893,3323,3721
gliner_finetuned_simcse,bare_llama_8b_claude,0.9233,855,926,0.9507,944,993,0.8169,763,934,0.8933,770,862,0.8969,3332,3715
gliner_finetuned_simcse,bare_llama_8b_deepseek,0.8641,814,942,0.939,939,1000,0.7833,770,983,0.8824,780,884,0.8672,3303,3809
gliner_finetuned_simcse,bare_llama_8b_gemini,0.8759,812,927,0.9048,893,987,0.7767,755,972,0.8663,771,890,0.8557,3231,3776
gliner_finetuned_simcse,bare_llama_8b_gpt,0.8885,837,942,0.9328,930,997,0.8199,792,966,0.898,810,902,0.8849,3369,3807
gliner_finetuned_simcse,bare_llama_8b_mistral,0.9065,824,909,0.9398,921,980,0.8111,773,953,0.8877,767,864,0.8864,3285,3706
gliner_finetuned_simcse,fewshot_claude,1.0,500,500,0.996,498,500,0.976,488,500,0.34,170,500,0.828,1656,2000
gliner_finetuned_simcse,fewshot_deepseek,1.0,497,497,0.998,496,497,0.998,496,497,0.9175,456,497,0.9784,1945,1988
gliner_finetuned_simcse,fewshot_gemini,0.9629,467,485,0.9938,482,485,0.9546,463,485,0.7241,349,482,0.9091,1761,1937
gliner_finetuned_simcse,fewshot_gpt,0.994,496,499,1.0,499,499,0.978,488,499,0.6064,285,470,0.8988,1768,1967
gliner_finetuned_simcse,fewshot_mistral,0.996,492,494,1.0,494,494,0.9899,489,494,0.6694,330,493,0.9139,1805,1975
gliner_finetuned_simcse,zeroshot_claude,0.986,493,500,0.814,407,500,0.894,447,500,0.321,87,271,0.8097,1434,1771
gliner_finetuned_simcse,zeroshot_deepseek,0.9398,468,498,0.9819,489,498,1.0,498,498,0.9738,371,381,0.9739,1826,1875
gliner_finetuned_simcse,zeroshot_gemini,0.8989,409,455,0.8898,428,481,0.7983,384,481,0.837,226,270,0.8577,1447,1687
gliner_finetuned_simcse,zeroshot_gpt,0.9579,478,499,0.9699,484,499,0.9178,458,499,0.9605,292,304,0.9506,1712,1801
gliner_finetuned_simcse,zeroshot_mistral,0.8721,409,469,1.0,469,469,0.9829,461,469,0.9088,339,373,0.9427,1678,1780
gliner_finetuned_simcse_email,attr_prompting_claude,0.9628,957,994,0.9296,924,994,0.9799,974,994,0.9296,924,994,0.9505,3779,3976
gliner_finetuned_simcse_email,attr_prompting_deepseek,0.999,996,997,0.9659,964,998,0.998,996,998,0.9619,960,998,0.9812,3916,3991
gliner_finetuned_simcse_email,attr_prompting_gemini,0.975,975,1000,0.947,947,1000,0.977,977,1000,0.989,989,1000,0.972,3888,4000
gliner_finetuned_simcse_email,attr_prompting_gpt,0.986,986,1000,0.984,984,1000,0.991,991,1000,0.844,844,1000,0.9513,3805,4000
gliner_finetuned_simcse_email,attr_prompting_mistral,0.9818,971,989,0.9869,976,989,0.999,988,989,0.8908,881,989,0.9646,3816,3956
gliner_finetuned_simcse_email,bare_llama_3b_claude,0.9499,854,899,0.9041,896,991,0.8403,779,927,0.9591,797,831,0.9117,3326,3648
gliner_finetuned_simcse_email,bare_llama_3b_deepseek,0.9246,846,915,0.838,833,994,0.8017,776,968,0.9468,783,827,0.8742,3238,3704
gliner_finetuned_simcse_email,bare_llama_3b_gemini,0.9234,832,901,0.8261,822,995,0.7959,776,975,0.9367,799,853,0.8671,3229,3724
gliner_finetuned_simcse_email,bare_llama_3b_gpt,0.9381,849,905,0.8868,885,998,0.8431,795,943,0.9453,813,860,0.9018,3342,3706
gliner_finetuned_simcse_email,bare_llama_3b_mistral,0.9429,826,876,0.8599,841,978,0.8112,765,943,0.9512,779,819,0.888,3211,3616
gliner_finetuned_simcse_email,bare_llama_8b_claude,0.9324,828,888,0.9104,904,993,0.8447,778,921,0.9481,768,810,0.9075,3278,3612
gliner_finetuned_simcse_email,bare_llama_8b_deepseek,0.8758,804,918,0.826,826,1000,0.7996,774,968,0.9301,772,830,0.8547,3176,3716
gliner_finetuned_simcse_email,bare_llama_8b_gemini,0.8823,787,892,0.8267,816,987,0.7905,762,964,0.9216,776,842,0.8524,3141,3685
gliner_finetuned_simcse_email,bare_llama_8b_gpt,0.9023,822,911,0.8506,848,997,0.8372,797,952,0.9409,812,863,0.8807,3279,3723
gliner_finetuned_simcse_email,bare_llama_8b_mistral,0.914,808,884,0.852,835,980,0.8394,789,940,0.9378,769,820,0.8833,3201,3624
gliner_finetuned_simcse_email,fewshot_claude,0.994,497,500,0.992,496,500,0.98,490,500,0.8497,424,499,0.954,1907,1999
gliner_finetuned_simcse_email,fewshot_deepseek,1.0,497,497,0.996,495,497,0.998,496,497,0.998,495,496,0.998,1983,1987
gliner_finetuned_simcse_email,fewshot_gemini,0.9814,476,485,0.9959,483,485,0.9897,480,485,0.9237,436,472,0.973,1875,1927
gliner_finetuned_simcse_email,fewshot_gpt,0.992,495,499,0.996,497,499,0.99,494,499,0.8522,398,467,0.9593,1884,1964
