model,dataset,vessel_accuracy,vessel_correct,vessel_total,port_accuracy,port_correct,port_total,commodity_accuracy,commodity_correct,commodity_total,incoterm_accuracy,incoterm_correct,incoterm_total,overall_accuracy,overall_correct,overall_total
gliner_base,attr_prompting_claude,0.8823,877,994,0.9115,906,994,0.9678,962,994,0.334,332,994,0.7739,3077,3976
gliner_base,attr_prompting_deepseek,0.982,980,998,0.9519,950,998,0.996,994,998,0.5972,596,998,0.8818,3520,3992
gliner_base,attr_prompting_gemini,0.9028,901,998,0.929,929,1000,0.969,969,1000,0.543,543,1000,0.8359,3342,3998
gliner_base,attr_prompting_gpt,0.984,984,1000,0.986,986,1000,0.992,992,1000,0.4925,491,997,0.8639,3453,3997
gliner_base,attr_prompting_mistral,0.9848,974,989,0.9869,976,989,1.0,989,989,0.6903,682,988,0.9155,3621,3955
gliner_base,bare_llama_3b_claude,0.9553,748,783,0.9627,954,991,0.8503,750,882,0.862,656,761,0.9096,3108,3417
gliner_base,bare_llama_3b_deepseek,0.9339,735,787,0.9577,952,994,0.8139,748,919,0.8418,644,765,0.8886,3079,3465
gliner_base,bare_llama_3b_gemini,0.9389,753,802,0.9317,927,995,0.8051,756,939,0.8329,633,760,0.8779,3069,3496
gliner_base,bare_llama_3b_gpt,0.947,768,811,0.9629,961,998,0.8583,763,889,0.8504,648,762,0.9075,3140,3460
gliner_base,bare_llama_3b_mistral,0.9545,713,747,0.956,935,978,0.8305,745,897,0.8438,632,749,0.8974,3025,3371
gliner_base,bare_llama_8b_claude,0.9252,717,775,0.9617,955,993,0.8665,766,884,0.805,549,682,0.8959,2987,3334
gliner_base,bare_llama_8b_deepseek,0.8835,713,807,0.956,956,1000,0.8326,776,932,0.7802,543,696,0.8699,2988,3435
gliner_base,bare_llama_8b_gemini,0.8936,731,818,0.924,912,987,0.8296,779,939,0.7651,544,711,0.8585,2966,3455
gliner_base,bare_llama_8b_gpt,0.9017,734,814,0.9549,952,997,0.8716,794,911,0.8059,577,716,0.8892,3057,3438
gliner_base,bare_llama_8b_mistral,0.9098,676,743,0.952,933,980,0.8602,775,901,0.7814,529,677,0.8825,2913,3301
gliner_base,fewshot_claude,0.914,457,500,0.992,496,500,0.992,496,500,0.4257,212,498,0.8313,1661,1998
gliner_base,fewshot_deepseek,0.4125,205,497,0.998,496,497,1.0,497,497,0.8813,438,497,0.8229,1636,1988
gliner_base,fewshot_gemini,0.7608,369,485,1.0,485,485,0.9876,479,485,0.4682,221,472,0.8064,1554,1927
gliner_base,fewshot_gpt,0.6586,328,498,1.0,499,499,0.992,495,499,0.7016,301,429,0.8431,1623,1925
gliner_base,fewshot_mistral,0.8421,416,494,1.0,494,494,0.998,493,494,0.6986,343,491,0.8849,1746,1973
gliner_base,zeroshot_claude,0.64,320,500,0.912,456,500,0.898,449,500,0.2902,74,255,0.7402,1299,1755
gliner_base,zeroshot_deepseek,0.0622,31,498,0.998,497,498,1.0,498,498,0.6774,21,31,0.6866,1047,1525
gliner_base,zeroshot_gemini,0.8626,383,444,0.9272,446,481,0.8067,388,481,0.7553,142,188,0.8526,1359,1594
gliner_base,zeroshot_gpt,0.4547,226,497,0.9679,483,499,0.9659,482,499,0.7021,33,47,0.7938,1224,1542
gliner_base,zeroshot_mistral,0.6204,286,461,1.0,469,469,0.9829,461,469,0.5811,43,74,0.8547,1259,1473
gliner_base_entity_aware,attr_prompting_claude,0.9004,895,994,0.9296,924,994,0.9819,976,994,0.6449,641,994,0.8642,3436,3976
gliner_base_entity_aware,attr_prompting_deepseek,0.978,976,998,0.9749,973,998,0.996,994,998,0.7575,756,998,0.9266,3699,3992
gliner_base_entity_aware,attr_prompting_gemini,0.921,921,1000,0.951,951,1000,0.966,966,1000,0.793,793,1000,0.9077,3631,4000
gliner_base_entity_aware,attr_prompting_gpt,0.982,982,1000,0.988,988,1000,0.992,992,1000,0.671,671,1000,0.9083,3633,4000
gliner_base_entity_aware,attr_prompting_mistral,0.9879,977,989,0.9879,977,989,1.0,989,989,0.7088,701,989,0.9211,3644,3956
gliner_base_entity_aware,bare_llama_3b_claude,0.9431,862,914,0.9596,951,991,0.8324,780,937,0.8869,831,937,0.9061,3424,3779
gliner_base_entity_aware,bare_llama_3b_deepseek,0.9262,854,922,0.9477,942,994,0.7967,784,984,0.8755,823,940,0.8862,3403,3840
gliner_base_entity_aware,bare_llama_3b_gemini,0.9308,861,925,0.9146,910,995,0.7876,775,984,0.8797,834,948,0.8775,3380,3852
gliner_base_entity_aware,bare_llama_3b_gpt,0.9386,886,944,0.9559,954,998,0.837,806,963,0.886,855,965,0.9047,3501,3870
gliner_base_entity_aware,bare_llama_3b_mistral,0.9572,849,887,0.9468,926,978,0.81,780,963,0.8758,811,926,0.8966,3366,3754
gliner_base_entity_aware,bare_llama_8b_claude,0.9051,839,927,0.9617,955,993,0.8468,796,940,0.8836,805,911,0.9003,3395,3771
gliner_base_entity_aware,bare_llama_8b_deepseek,0.8486,807,951,0.96,960,1000,0.8127,807,993,0.861,799,928,0.8711,3373,3872
gliner_base_entity_aware,bare_llama_8b_gemini,0.8713,819,940,0.926,914,987,0.801,785,980,0.8527,793,930,0.8629,3311,3837
gliner_base_entity_aware,bare_llama_8b_gpt,0.8677,820,945,0.9478,945,997,0.8448,822,973,0.8788,834,949,0.8854,3421,3864
gliner_base_entity_aware,bare_llama_8b_mistral,0.8884,812,914,0.9551,936,980,0.8418,814,967,0.8709,789,906,0.8896,3351,3767
gliner_base_entity_aware,fewshot_claude,0.914,457,500,0.996,498,500,0.992,496,500,0.3273,163,498,0.8078,1614,1998
gliner_base_entity_aware,fewshot_deepseek,0.4125,205,497,0.998,496,497,1.0,497,497,0.9074,451,497,0.8295,1649,1988
gliner_base_entity_aware,fewshot_gemini,0.7402,359,485,1.0,485,485,0.9876,479,485,0.6417,308,480,0.8429,1631,1935
gliner_base_entity_aware,fewshot_gpt,0.6593,329,499,1.0,499,499,0.98,489,499,0.6232,311,499,0.8156,1628,1996
gliner_base_entity_aware,fewshot_mistral,0.8421,416,494,1.0,494,494,0.9919,490,494,0.6862,339,494,0.8801,1739,1976
gliner_base_entity_aware,zeroshot_claude,0.722,361,500,0.864,432,500,0.9,450,500,0.2874,73,254,0.7503,1316,1754
gliner_base_entity_aware,zeroshot_deepseek,0.012,6,498,0.998,497,498,1.0,498,498,0.9918,483,487,0.7491,1484,1981
gliner_base_entity_aware,zeroshot_gemini,0.8553,408,477,0.9044,435,481,0.8067,388,481,0.8657,245,283,0.8571,1476,1722
gliner_base_entity_aware,zeroshot_gpt,0.4188,209,499,0.9699,484,499,0.9339,466,499,0.979,467,477,0.8237,1626,1974
gliner_base_entity_aware,zeroshot_mistral,0.4188,196,468,1.0,469,469,0.9808,460,469,0.9279,425,458,0.8315,1550,1864
gliner_bge,attr_prompting_claude,0.8873,882,994,0.8018,797,994,0.832,827,994,0.2042,203,994,0.6813,2709,3976
gliner_bge,attr_prompting_deepseek,0.9819,978,996,0.9168,915,998,0.9499,948,998,0.515,514,998,0.8409,3355,3990
gliner_bge,attr_prompting_gemini,0.9117,909,997,0.764,764,1000,0.908,908,1000,0.44,440,1000,0.7558,3021,3997
gliner_bge,attr_prompting_gpt,0.977,977,1000,0.967,967,1000,0.947,947,1000,0.503,502,998,0.8487,3393,3998
gliner_bge,attr_prompting_mistral,0.9757,965,989,0.9767,966,989,0.9949,984,989,0.6285,621,988,0.8941,3536,3955
gliner_bge,bare_llama_3b_claude,0.947,769,812,0.9475,939,991,0.8062,724,898,0.8794,693,788,0.8957,3125,3489
gliner_bge,bare_llama_3b_deepseek,0.9206,754,819,0.9155,910,994,0.7715,726,941,0.8742,688,787,0.8692,3078,3541
gliner_bge,bare_llama_3b_gemini,0.9226,775,840,0.8894,885,995,0.7691,736,957,0.8663,706,815,0.86,3102,3607
gliner_bge,bare_llama_3b_gpt,0.9329,765,820,0.9429,941,998,0.8332,764,917,0.8752,701,801,0.8968,3171,3536
gliner_bge,bare_llama_3b_mistral,0.9482,750,791,0.9284,908,978,0.786,720,916,0.8747,684,782,0.8832,3062,3467
gliner_bge,bare_llama_8b_claude,0.9037,732,810,0.9496,943,993,0.8202,739,901,0.8351,618,740,0.8804,3032,3444
gliner_bge,bare_llama_8b_deepseek,0.8507,695,817,0.931,931,1000,0.7858,741,943,0.827,631,763,0.851,2998,3523
gliner_bge,bare_llama_8b_gemini,0.8697,721,829,0.9017,890,987,0.7815,744,952,0.8135,637,783,0.8426,2992,3551
gliner_bge,bare_llama_8b_gpt,0.8787,717,816,0.9358,933,997,0.8287,774,934,0.8351,628,752,0.8722,3052,3499
gliner_bge,bare_llama_8b_mistral,0.8862,685,773,0.9347,916,980,0.8105,744,918,0.8362,628,751,0.8688,2973,3422
gliner_bge,fewshot_claude,0.912,456,500,0.972,486,500,0.95,475,500,0.182,91,500,0.754,1508,2000
gliner_bge,fewshot_deepseek,0.4125,205,497,0.998,496,497,0.9799,487,497,0.6076,302,497,0.7495,1490,1988
gliner_bge,fewshot_gemini,0.7175,348,485,0.9918,481,485,0.9608,466,485,0.3714,179,482,0.761,1474,1937
gliner_bge,fewshot_gpt,0.6566,327,498,0.998,498,499,0.9679,483,499,0.5588,247,442,0.8024,1555,1938
gliner_bge,fewshot_mistral,0.8421,416,494,1.0,494,494,0.9798,484,494,0.4085,201,492,0.808,1595,1974
gliner_bge,zeroshot_claude,0.72,360,500,0.83,415,500,0.684,342,500,0.5678,243,428,0.7054,1360,1928
gliner_bge,zeroshot_deepseek,0.0622,31,498,0.9819,489,498,1.0,498,498,0.9057,96,106,0.6963,1114,1600
gliner_bge,zeroshot_gemini,0.8516,373,438,0.8857,426,481,0.7422,357,481,0.8546,335,392,0.832,1491,1792
gliner_bge,zeroshot_gpt,0.4393,217,494,0.9659,482,499,0.9138,456,499,0.8559,101,118,0.7801,1256,1610
gliner_bge,zeroshot_mistral,0.6106,276,452,1.0,469,469,0.9829,461,469,0.7662,118,154,0.8575,1324,1544
gliner_bge_entity_aware,attr_prompting_claude,0.8642,859,994,0.9296,924,994,0.9708,965,994,0.6831,679,994,0.8619,3427,3976
gliner_bge_entity_aware,attr_prompting_deepseek,0.9709,969,998,0.9749,973,998,0.98,978,998,0.7966,795,998,0.9306,3715,3992
gliner_bge_entity_aware,attr_prompting_gemini,0.814,814,1000,0.924,924,1000,0.933,933,1000,0.83,830,1000,0.8752,3501,4000
gliner_bge_entity_aware,attr_prompting_gpt,0.971,971,1000,0.984,984,1000,0.974,974,1000,0.697,697,1000,0.9065,3626,4000
gliner_bge_entity_aware,attr_prompting_mistral,0.9555,945,989,0.9889,978,989,1.0,989,989,0.7348,726,988,0.9198,3638,3955
gliner_bge_entity_aware,bare_llama_3b_claude,0.9386,886,944,0.9526,944,991,0.7913,743,939,0.9087,826,909,0.8985,3399,3783
gliner_bge_entity_aware,bare_llama_3b_deepseek,0.9188,883,961,0.9175,912,994,0.7591,750,988,0.8957,824,920,0.8721,3369,3863
gliner_bge_entity_aware,bare_llama_3b_gemini,0.9196,881,958,0.8874,883,995,0.7525,742,986,0.8979,827,921,0.8635,3333,3860
gliner_bge_entity_aware,bare_llama_3b_gpt,0.9349,905,968,0.9439,942,998,0.8037,774,963,0.913,850,931,0.8992,3471,3860
gliner_bge_entity_aware,bare_llama_3b_mistral,0.9442,880,932,0.9305,910,978,0.7614,734,964,0.8977,816,909,0.8829,3340,3783
gliner_bge_entity_aware,bare_llama_8b_claude,0.8935,847,948,0.9547,948,993,0.8081,758,938,0.8954,796,889,0.8888,3349,3768
gliner_bge_entity_aware,bare_llama_8b_deepseek,0.8423,812,964,0.941,941,1000,0.7713,762,988,0.8869,808,911,0.8602,3323,3863
gliner_bge_entity_aware,bare_llama_8b_gemini,0.86,811,943,0.9037,892,987,0.7674,749,976,0.8742,799,914,0.851,3251,3820
gliner_bge_entity_aware,bare_llama_8b_gpt,0.8687,827,952,0.9378,935,997,0.8111,786,969,0.8984,831,925,0.8793,3379,3843
gliner_bge_entity_aware,bare_llama_8b_mistral,0.8841,824,932,0.9418,923,980,0.7948,763,960,0.8953,804,898,0.879,3314,3770
gliner_bge_entity_aware,fewshot_claude,0.912,456,500,0.996,498,500,0.988,494,500,0.3768,188,499,0.8184,1636,1999
gliner_bge_entity_aware,fewshot_deepseek,0.4125,205,497,0.998,496,497,0.998,496,497,0.9437,469,497,0.838,1666,1988
gliner_bge_entity_aware,fewshot_gemini,0.7196,349,485,1.0,485,485,0.9608,466,485,0.7176,343,478,0.85,1643,1933
gliner_bge_entity_aware,fewshot_gpt,0.6573,328,499,1.0,499,499,0.9739,486,499,0.7101,338,476,0.8368,1651,1973
