model,dataset,vessel_precision,vessel_recall,vessel_f1,vessel_micro_precision,vessel_micro_recall,vessel_micro_f1,port_precision,port_recall,port_f1,port_micro_precision,port_micro_recall,port_micro_f1,commodity_precision,commodity_recall,commodity_f1,commodity_micro_precision,commodity_micro_recall,commodity_micro_f1,incoterm_precision,incoterm_recall,incoterm_f1,incoterm_micro_precision,incoterm_micro_recall,incoterm_micro_f1,overall_precision,overall_recall,overall_f1,overall_micro_precision,overall_micro_recall,overall_micro_f1,total_tp,total_fp,total_fn
gliner_mlm_frozen,bare_llama_3b_gemini,0.6019,0.6442,0.6121,0.1236,0.8029,0.2142,0.505,0.8844,0.6011,0.3871,0.9254,0.5459,0.4674,0.8653,0.5585,0.304,0.9129,0.4561,0.3821,0.4382,0.3946,0.0586,0.6337,0.1073,0.4891,0.708,0.5416,0.2828,0.9011,0.4305,2869,7275,315
gliner_mlm_frozen,bare_llama_3b_gpt,0.6101,0.6473,0.6199,0.1279,0.7786,0.2197,0.5266,0.8618,0.6162,0.4018,0.9631,0.567,0.4852,0.8467,0.5726,0.3098,0.9485,0.4671,0.3815,0.4459,0.396,0.0681,0.7299,0.1246,0.5009,0.7004,0.5512,0.2874,0.9361,0.4398,2712,6725,185
gliner_mlm_frozen,bare_llama_3b_mistral,0.5726,0.6094,0.582,0.1054,0.8621,0.1878,0.5203,0.8654,0.6088,0.4053,0.9472,0.5677,0.476,0.8497,0.5608,0.2958,0.9292,0.4487,0.3575,0.4162,0.37,0.0591,0.6588,0.1085,0.4816,0.6852,0.5304,0.2816,0.9227,0.4315,2771,7070,232
gliner_mlm_frozen,bare_llama_8b_claude,0.5608,0.5992,0.5711,0.1306,0.7826,0.2238,0.4964,0.8606,0.5856,0.3479,0.9753,0.5129,0.4943,0.8268,0.5759,0.3164,0.9252,0.4715,0.2997,0.3686,0.3133,0.056,0.6505,0.1031,0.4628,0.6638,0.5115,0.2565,0.9277,0.4019,2566,7437,200
gliner_mlm_frozen,bare_llama_8b_deepseek,0.5428,0.597,0.5565,0.1385,0.7163,0.2321,0.5227,0.8934,0.6187,0.406,0.9596,0.5706,0.4711,0.881,0.5647,0.2931,0.9443,0.4473,0.2983,0.366,0.3115,0.0509,0.6224,0.0941,0.4587,0.6844,0.5129,0.2765,0.9209,0.4253,3085,8073,265
gliner_mlm_frozen,bare_llama_8b_gemini,0.5672,0.619,0.5804,0.1286,0.6793,0.2163,0.4795,0.899,0.5809,0.358,0.941,0.5187,0.462,0.8896,0.5597,0.2967,0.9272,0.4495,0.3239,0.3891,0.3365,0.0543,0.5646,0.0991,0.4582,0.6992,0.5144,0.2643,0.8988,0.4084,2959,8238,333
gliner_mlm_frozen,bare_llama_8b_gpt,0.5711,0.6209,0.5836,0.1536,0.7592,0.2555,0.5358,0.8881,0.628,0.4051,0.9694,0.5714,0.4893,0.8666,0.5788,0.3091,0.9428,0.4656,0.3031,0.3731,0.317,0.0565,0.6632,0.1041,0.4748,0.6872,0.5269,0.2815,0.9304,0.4322,2886,7368,216
gliner_mlm_frozen,bare_llama_8b_mistral,0.5457,0.5888,0.5569,0.118,0.764,0.2044,0.504,0.8877,0.5998,0.3784,0.9638,0.5434,0.4604,0.8653,0.551,0.2774,0.9364,0.428,0.3118,0.3806,0.3251,0.0544,0.6649,0.1006,0.4555,0.6806,0.5082,0.261,0.9281,0.4074,2879,8151,223
gliner_mlm_frozen,fewshot_claude,0.8732,1.0,0.9111,0.7587,1.0,0.8628,0.7413,0.984,0.8215,0.6521,0.984,0.7844,0.4286,1.0,0.5644,0.3294,1.0,0.4956,0.1923,0.638,0.2731,0.1364,0.6419,0.225,0.5588,0.9055,0.6425,0.3823,0.9223,0.5405,2303,3721,194
gliner_mlm_frozen,fewshot_deepseek,0.8853,1.0,0.9229,0.8081,1.0,0.8939,0.8901,0.999,0.9247,0.8076,0.999,0.8932,0.6223,1.0,0.719,0.4564,1.0,0.6268,0.3212,0.9437,0.443,0.2278,0.9456,0.3672,0.6797,0.9857,0.7524,0.4921,0.9887,0.6571,2458,2537,28
gliner_mlm_frozen,fewshot_gemini,0.6625,0.9856,0.754,0.5276,0.9856,0.6873,0.4866,0.9959,0.6211,0.3973,0.9959,0.568,0.5985,0.9629,0.6972,0.4435,0.9629,0.6073,0.239,0.6351,0.3178,0.1864,0.6441,0.2891,0.4966,0.8949,0.5975,0.3679,0.9186,0.5254,2222,3817,197
gliner_mlm_frozen,fewshot_gpt,0.7137,0.988,0.7979,0.6037,0.9939,0.7511,0.9295,0.999,0.9522,0.871,0.999,0.9306,0.6897,0.99,0.7694,0.513,0.99,0.6758,0.1987,0.6293,0.2735,0.1288,0.7641,0.2204,0.6329,0.9016,0.6983,0.43,0.9563,0.5932,2296,3044,105
gliner_mlm_frozen,fewshot_mistral,0.76,1.0,0.8378,0.6631,1.0,0.7974,0.8661,0.999,0.9056,0.7538,0.999,0.8592,0.6273,0.998,0.7223,0.4569,0.998,0.6268,0.2473,0.9049,0.3499,0.1555,0.9104,0.2656,0.6252,0.9755,0.7039,0.4031,0.9814,0.5715,2423,3588,46
gliner_mlm_frozen,zeroshot_claude,0.4886,1.0,0.5951,0.3005,1.0,0.4621,0.6254,0.9288,0.7205,0.5496,0.9286,0.6905,0.3652,0.89,0.4889,0.2939,0.89,0.4419,0.0374,0.072,0.043,0.0119,0.1198,0.0216,0.3791,0.7227,0.4619,0.2795,0.8655,0.4226,1905,4910,296
gliner_mlm_frozen,zeroshot_deepseek,0.8794,0.9859,0.9128,0.7794,0.9859,0.8706,0.9683,0.9779,0.9715,0.9768,0.9828,0.9798,0.8017,1.0,0.8572,0.6561,1.0,0.7923,0.0,0.0,0.0,0.0,0.0,0.0,0.6623,0.7409,0.6854,0.3656,0.9829,0.533,1959,3399,34
gliner_mlm_frozen,zeroshot_gemini,0.5188,0.8898,0.6074,0.32,0.9814,0.4826,0.7301,0.9787,0.8108,0.6485,0.976,0.7792,0.4832,0.9148,0.5882,0.3495,0.9148,0.5058,0.2302,0.2807,0.243,0.0533,0.6923,0.099,0.4906,0.766,0.5624,0.371,0.9512,0.5338,1891,3206,97
gliner_mlm_frozen,zeroshot_gpt,0.7113,0.9679,0.7899,0.5964,0.9748,0.74,0.9278,0.9643,0.9382,0.909,0.9746,0.9407,0.7304,0.988,0.8044,0.5807,0.988,0.7315,0.0105,0.018,0.012,0.002,0.2632,0.004,0.595,0.7346,0.6361,0.3694,0.9712,0.5352,1921,3280,57
gliner_mlm_frozen,zeroshot_mistral,0.8054,0.9083,0.8384,0.6926,0.9599,0.8046,0.9755,0.9957,0.9824,0.9596,1.0,0.9794,0.711,0.9936,0.7915,0.5655,0.9936,0.7208,0.0022,0.0107,0.0037,0.0014,0.1316,0.0028,0.6235,0.7271,0.654,0.2984,0.9713,0.4565,1757,4131,52
