Country,LOCODE,Name,NameWithoutDiacritics,Subdivision,Function,IATA,Latitude,Longitude
JP,JP YMT,Yamatani,Yamatani,32,1-------,,,
JP,JP YAA,Yanagi,Yanagi,43,1-------,,,
JP,JP YAN,Yanai,Yanai,35,1-------,,,
JP,JP YNI,Yani,Yani,46,1-------,,,
JP,JP YNN,Yanma,Yanma,46,1-------,,,
JP,JP YSG,Yasugi,Yasugi,32,1-------,,,
JP,JP YAS,Yasumiya,Yasumiya,02,1-------,,,
JP,JP YMA,Yasurahama,Yasurahama,46,1-------,,,
JP,JP YAT,Yatsushiro,Yatsushiro,43,1-------,,,
JP,JP YWT,Yawata/Kitakyushu,Yawata/Kitakyushu,40,123-----,,33.85,130.8
JP,JP YWH,Yawatahama,Yawatahama,38,1-------,,,
JP,JP YBK,Yobuko,Yobuko,41,1-------,,,
JP,JP YIC,Yoichi,Yoichi,01,1-------,,,
JP,JP YOC,Yoichigaura,Yoichigaura,43,1-------,,,
JP,JP YKK,Yokkaichi,Yokkaichi,24,1-------,,,
JP,JP YOK,Yokohama,Yokohama,14,12345---,,35.45,139.65
JP,JP YKS,Yokoshima/Kurahashi,Yokoshima/Kurahashi,34,1-------,,,
JP,JP YOS,Yokosuka,Yokosuka,14,123-----,,35.28333333333333,139.66666666666666
JP,JP YKT,"Yokota, Hiroshima","Yokota, Hiroshima",34,1-------,,,
JP,JP YOG,Yonegura,Yonegura,33,1-------,,,
JP,JP YNZ,Yonouzu,Yonouzu,44,1-------,,,
JP,JP YOR,Yoro,Yoro,46,1-------,,,
JP,JP YRO,Yoro,Yoro,21,1----6--,,35.3,136.55
JP,JP YSS,Yoshiase,Yoshiase,34,1-------,,,
JP,JP YDA,"Yoshida, Aichi","Yoshida, Aichi",23,1-------,,,
JP,JP YSD,"Yoshida, Ehime","Yoshida, Ehime",38,1-------,,,
JP,JP YSM,Yoshima,Yoshima,37,1-------,,,
JP,JP YSN,Yoshinozaki,Yoshinozaki,37,1-------,,,
JP,JP YHI,Yoshiumi,Yoshiumi,38,1-3-----,,34.13333333333333,133.03333333333333
JP,JP YSU,Yoshiura,Yoshiura,34,1-------,,,
JP,JP YSR,Yoshiura/Misumi,Yoshiura/Misumi,32,1-------,,,
JP,JP YHA,Yoshiura/Yunotsu,Yoshiura/Yunotsu,32,1-------,,,
JP,JP YSZ,Yoshizu,Yoshizu,24,1-------,,,
JP,JP YOT,Yotsukura,Yotsukura,07,1-------,,,
JP,JP YOU,Youra,Youra,44,1-------,,,
JP,JP YSH,Yuasahiro,Yuasahiro,30,1-------,,,
JP,JP YBT,Yubetsu,Yubetsu,01,1-------,,,
JP,JP YDM,Yudomari,Yudomari,46,1-------,,,
JP,JP YGE,Yuge,Yuge,38,1-------,,,
JP,JP YUK,Yuki,Yuki,36,1-------,,,
JP,JP YMC,Yumachi,Yumachi,32,1-------,,,
JP,JP YMU,Yumugi,Yumugi,46,1-------,,,
JP,JP YNM,Yunomochiki,Yunomochiki,46,1-------,,,
JP,JP YNT,Yunotsu,Yunotsu,32,1-------,,,
JP,JP YRA,"Yura, Hyogo","Yura, Hyogo",28,1-------,,,
JP,JP YUR,"Yura, Wakayama","Yura, Wakayama",30,1-------,,,
JP,JP YUJ,"Yura, Yamagata","Yura, Yamagata",06,1-------,,,
JP,JP YUA,"Yura, Yamaguchi","Yura, Yamaguchi",35,1-------,,,
JP,JP YRG,Yurigahama,Yurigahama,46,1-------,,,
JP,JP YUS,Yusu,Yusu,38,1-------,,,
JP,JP YTI,Yutai,Yutai,38,1-------,,,
JP,JP YUU,Yuu,Yuu,35,1-------,,,
JP,JP YWN,Yuwan,Yuwan,46,1-------,,,
JP,JP ZMM,Zamami,Zamami,47,1-------,,,
JP,JP AXZ,Zushi,Zushi,14,1----6--,,35.28333333333333,139.58333333333334
JP,JP OSM,"Ôshima, Nagasaki","Oshima, Nagasaki",42,1-------,,33.06666666666667,129.61666666666667
KE,KE KIL,Kilindini,Kilindini,,1-------,,,
KE,KE KIS,Kisumu,Kisumu,,1--4----,,,
KE,KE LAU,Lamu,Lamu,,1--4----,,,
KE,KE MYD,Malindi,Malindi,,1--4----,,,
KE,KE MBA,Mombasa,Mombasa,,1--45---,,,
KE,KE SMN,Shimoni,Shimoni,19,1-3-----,,-4.65,39.38333333333333
KE,KE SIA,Siaya,Siaya,38,1-------,,0.06666666666666667,34.28333333333333
KH,KH CHE,Cheko,Cheko,,1-------,,,
KH,KH KKO,Kas Kong,Kas Kong,,1-------,,,
KH,KH KOS,Kâmpóng Saôm,Kampong Saom,,1-34--7-,,10.6,103.51666666666667
KH,KH PNH,Phnom Penh,Phnom Penh,,1--45---,,,
KH,KH TKH,Ta Khmau,Ta Khmau,12,1-------,,11.483333333333333,104.95
KI,KI BIR,Birnie Island,Birnie Island,P,1-------,,-3.5833333333333335,-171.51666666666668
KI,KI EBI,Enderbury Island,Enderbury Island,P,1-------,,-3.15,-171.08333333333334
KI,KI FIS,Fanning Islands,Fanning Islands,,1-------,,,
KI,KI HUL,Hull Island,Hull Island,P,1-------,,-4.516666666666667,-172.18333333333334
KI,KI MCK,Mckean Island,Mckean Island,P,1-------,,-3.5833333333333335,-174.11666666666667
KI,KI NIK,Nikumaroro,Nikumaroro,P,1-------,,-4.683333333333334,-174.51666666666668
KI,KI PHO,Phoenix Islands,Phoenix Islands,,1-------,,,
KI,KI SYI,Sydney Island,Sydney Island,P,1-------,,-4.466666666666667,-171.25
KI,KI TRW,Tarawa,Tarawa,,1--4----,,,
KI,KI WNI,Washington Islands,Washington Islands,,1-------,,,
KM,KM AJN,Anjouan Apt,Anjouan Apt,A,1-34----,,-12.25,44.416666666666664
KM,KM FOU,"Foumboni, Moheli","Foumboni, Moheli",,1-------,,,
KM,KM YVA,Moroni,Moroni,,1--45---,,,
KM,KM MUT,"Mutsamudu, Anjouan","Mutsamudu, Anjouan",A,1-3-----,,-12.15,44.38333333333333
KN,KN BAS,"Basseterre, Saint Kitts","Basseterre, Saint Kitts",,1---5---,,,
KN,KN CHA,Charlestown,Charlestown,,1--4----,NEV,17.133333333333333,-62.61666666666667
KN,KN NEV,Nevis,Nevis,,1--4----,,17.15,-62.583333333333336
KP,KP CHO,Chongjin,Chongjin,09,1-------,,,
KP,KP GEN,Gensan,Gensan,,1-------,,,
