dataset,n_entities,n_types,base_silhouette,bge_silhouette,sbert_silhouette,base_calinski,bge_calinski,sbert_calinski,bge_sil_improvement,sbert_sil_improvement,bge_ch_improvement,sbert_ch_improvement
movie,1994,6,-0.024860507,0.0008081081,-0.01949738,106.2615029720787,146.23649348746775,120.12172743898573,0.025668615,0.005363127,39.97499051538905,13.860224466907027
politics,2538,6,0.03882054,0.1711327,0.15751442,123.462145472669,453.64471593720936,436.870238122464,0.13231216,0.11869389,330.1825704645404,313.408092649795
music,1890,6,0.01792661,0.14788738,0.13449223,43.311383895039405,203.8498678165845,149.43663606050245,0.12996078,0.11656562,160.5384839215451,106.12525216546305
restaurant,1444,6,-0.03745349,0.05898277,0.05319387,40.779045237108825,105.32965104082692,88.17922290639093,0.09643626,0.09064736,64.5506058037181,47.40017766928211
science,1573,6,0.007076597,0.0676354,0.027867768,54.4228921200443,227.78730186800635,170.54087315565215,0.060558803,0.020791171,173.36440974796204,116.11798103560784
literature,1430,6,-0.017001003,0.044806246,0.024675114,27.86857937481465,149.91881425471374,106.056125504256,0.06180725,0.04167612,122.05023487989908,78.18754612944136
ai,837,6,0.009286413,0.08325014,0.07972534,22.098542642485796,89.98346195713646,63.228008262213415,0.07396373,0.07043893,67.88491931465066,41.12946561972762
