chain_id,model,method,num_emails,sentiment_neg,sentiment_neu,sentiment_pos
0,Gemini,Zeroshot,7,0.08317627906799319,0.28317627906799314,0.6336474418640137
1,Gemini,Zeroshot,7,0.0,0.10024696588516235,0.8997530341148376
2,Gemini,Zeroshot,7,0.0,0.05770495533943176,0.9422950446605682
3,Gemini,Zeroshot,7,0.008818128705024741,0.2088181287050247,0.7823637425899506
4,Gemini,Zeroshot,7,0.11138897538185122,0.41138897538185115,0.47722204923629763
5,Gemini,Zeroshot,7,0.14399186670780184,0.7,0.15600813329219818
6,Gemini,Zeroshot,7,0.0,0.08850228786468506,0.9114977121353149
7,Gemini,Zeroshot,7,0.0,0.033847659826278687,0.9661523401737213
8,Gemini,Zeroshot,7,0.08664331734180453,0.2866433173418045,0.626713365316391
9,Gemini,Zeroshot,7,0.0,0.038818538188934326,0.9611814618110657
10,Gemini,Zeroshot,7,0.14666787683963778,0.7,0.15333212316036224
11,Gemini,Zeroshot,7,0.13754473030567171,0.7,0.1624552696943283
12,Gemini,Zeroshot,7,0.0,0.026873081922531128,0.9731269180774689
13,Gemini,Zeroshot,7,0.0,0.13172581791877747,0.8682741820812225
14,Gemini,Zeroshot,7,0.0,0.09669861197471619,0.9033013880252838
15,Gemini,Zeroshot,7,0.0,0.09520438313484192,0.9047956168651581
16,Gemini,Zeroshot,7,0.031984621286392234,0.2319846212863922,0.7360307574272156
17,Gemini,Zeroshot,7,0.07445345222949984,0.2744534522294998,0.6510930955410004
18,Gemini,Zeroshot,7,0.028476276993751548,0.2284762769937515,0.743047446012497
19,Gemini,Zeroshot,7,0.0,0.06038692593574524,0.9396130740642548
20,Gemini,Zeroshot,7,0.0,0.09533652663230896,0.904663473367691
21,Gemini,Zeroshot,7,0.0,0.04689306020736694,0.9531069397926331
22,Gemini,Zeroshot,7,0.0,0.1793471872806549,0.8206528127193451
23,Gemini,Zeroshot,7,0.0,0.1340300738811493,0.8659699261188507
24,Gemini,Zeroshot,7,0.0,0.02175542712211609,0.9782445728778839
25,Gemini,Zeroshot,7,0.013854393362998985,0.21385439336299894,0.7722912132740021
26,Gemini,Zeroshot,7,0.0,0.07987576723098755,0.9201242327690125
27,Gemini,Zeroshot,7,0.0,0.018744736909866333,0.9812552630901337
