chain_id,model,method,num_emails,sentiment_neg,sentiment_neu,sentiment_pos
0,GPT4,Bare Llama8B,5,0.11623662114143374,0.41623662114143367,0.4675267577171326
1,GPT4,Bare Llama8B,4,0.0,0.0056923627853393555,0.9943076372146606
2,GPT4,Bare Llama8B,5,0.8911970509216189,0.10880294907838106,0.0
3,GPT4,Bare Llama8B,4,0.0,0.06695830821990967,0.9330416917800903
4,GPT4,Bare Llama8B,2,0.0,0.12270128726959229,0.8772987127304077
5,GPT4,Bare Llama8B,5,0.14948136508464815,0.7,0.15051863491535186
6,GPT4,Bare Llama8B,2,0.0,0.03939893841743469,0.9606010615825653
7,GPT4,Bare Llama8B,3,0.11188315749168398,0.4118831574916839,0.4762336850166321
8,GPT4,Bare Llama8B,3,0.09190774857997897,0.2919077485799789,0.6161845028400421
9,GPT4,Bare Llama8B,3,0.08204815685749056,0.2820481568574905,0.6359036862850189
10,GPT4,Bare Llama8B,3,0.0,0.10577040910720825,0.8942295908927917
11,GPT4,Bare Llama8B,6,0.054548421502113364,0.2545484215021133,0.6909031569957733
12,GPT4,Bare Llama8B,6,0.11164584159851076,0.4116458415985107,0.47670831680297854
13,GPT4,Bare Llama8B,8,0.0,0.017066657543182373,0.9829333424568176
14,GPT4,Bare Llama8B,3,0.04171420037746432,0.24171420037746427,0.7165715992450714
15,GPT4,Bare Llama8B,1,0.0,0.007168710231781006,0.992831289768219
16,GPT4,Bare Llama8B,4,0.0753533333539963,0.27535333335399625,0.6492933332920074
17,GPT4,Bare Llama8B,4,0.14777343869209292,0.7,0.1522265613079071
18,GPT4,Bare Llama8B,4,0.08728418648242953,0.2872841864824295,0.625431627035141
19,GPT4,Bare Llama8B,7,0.0353123337030411,0.23531233370304105,0.7293753325939178
20,GPT4,Bare Llama8B,5,0.11378830075263979,0.4137883007526397,0.4724233984947205
21,GPT4,Bare Llama8B,5,0.140435928106308,0.7,0.159564071893692
22,GPT4,Bare Llama8B,5,0.14300855398178103,0.7,0.156991446018219
23,GPT4,Bare Llama8B,3,0.0,0.08778885006904602,0.912211149930954
24,GPT4,Bare Llama8B,4,0.0,0.1588948667049408,0.8411051332950592
25,GPT4,Bare Llama8B,4,0.027194806933403037,0.227194806933403,0.745610386133194
26,GPT4,Bare Llama8B,2,0.13317585885524752,0.7,0.1668241411447525
27,GPT4,Bare Llama8B,4,0.0035173386335373147,0.20351733863353727,0.7929653227329254
28,GPT4,Bare Llama8B,4,0.0,0.04782867431640625,0.9521713256835938
29,GPT4,Bare Llama8B,4,0.10826391875743868,0.4082639187574386,0.4834721624851227
30,GPT4,Bare Llama8B,4,0.0,0.06246739625930786,0.9375326037406921
31,GPT4,Bare Llama8B,2,0.13714928328990938,0.7,0.16285071671009063
32,GPT4,Bare Llama8B,3,0.0,0.08737742900848389,0.9126225709915161
33,GPT4,Bare Llama8B,3,0.0,0.006719499826431274,0.9932805001735687
34,GPT4,Bare Llama8B,5,0.0020495742559433205,0.20204957425594328,0.7959008514881134
35,GPT4,Bare Llama8B,3,0.0,0.06525459885597229,0.9347454011440277
36,GPT4,Bare Llama8B,3,0.0,0.11522188782691956,0.8847781121730804
37,GPT4,Bare Llama8B,2,0.15257556140422823,0.7,0.14742443859577178
38,GPT4,Bare Llama8B,5,0.12248677909374239,0.4224867790937423,0.4550264418125153
39,GPT4,Bare Llama8B,1,0.16618346571922304,0.7,0.13381653428077697
40,GPT4,Bare Llama8B,6,0.0,0.1852824091911316,0.8147175908088684
41,GPT4,Bare Llama8B,5,0.06172316670417788,0.26172316670417783,0.6765536665916443
42,GPT4,Bare Llama8B,2,0.0,0.013076484203338623,0.9869235157966614
43,GPT4,Bare Llama8B,4,0.0,0.002969890832901001,0.997030109167099
44,GPT4,Bare Llama8B,3,0.0,0.03419947624206543,0.9658005237579346
45,GPT4,Bare Llama8B,4,0.0,0.031435638666152954,0.968564361333847
